Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Avg_Reward_User_8	Avg_Reward_User_9	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Packet_Loss_Ratio_User_8	Packet_Loss_Ratio_User_9	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7	Avg_Loss_User_8	Avg_Loss_User_9
61000	13.6540	1.3896	1.3924	1.3983	1.3972	1.4011	1.4008	1.4000	1.2310	1.2413	1.4025	0.5359	0.5369	0.5348	0.5353	0.5324	0.5324	0.5347	0.5903	0.5873	0.5341	1.983899	1.981639	1.972527	1.954635	2.007233	2.014194	1.974500	2.040754	2.019537	1.983017
62000	13.6620	1.3902	1.3930	1.3976	1.3983	1.4017	1.4007	1.4002	1.2341	1.2435	1.4026	0.5357	0.5366	0.5350	0.5349	0.5324	0.5325	0.5349	0.5893	0.5864	0.5341	1.989416	1.988761	1.980452	1.959835	2.011082	2.020076	1.980927	2.043999	2.024852	1.989719
63000	13.6688	1.3905	1.3933	1.3983	1.3977	1.4015	1.4013	1.4004	1.2362	1.2469	1.4027	0.5357	0.5366	0.5346	0.5351	0.5326	0.5324	0.5349	0.5886	0.5852	0.5341	1.986828	1.987346	1.978944	1.957971	2.007549	2.016834	1.978660	2.039841	2.021391	1.987642
64000	13.6769	1.3905	1.3939	1.3988	1.3979	1.4013	1.4013	1.4010	1.2389	1.2500	1.4034	0.5356	0.5363	0.5345	0.5352	0.5327	0.5324	0.5347	0.5876	0.5842	0.5341	1.982801	1.984168	1.975099	1.954669	2.002574	2.011871	1.974907	2.034377	2.016218	1.983787
65000	13.6804	1.3904	1.3934	1.3986	1.3974	1.4018	1.4013	1.4005	1.2409	1.2524	1.4036	0.5358	0.5365	0.5343	0.5353	0.5324	0.5325	0.5349	0.5870	0.5834	0.5341	1.977936	1.979691	1.970576	1.950725	1.996599	2.005850	1.970181	2.028016	2.010277	1.978818
66000	13.6872	1.3907	1.3939	1.3983	1.3981	1.4027	1.4017	1.4008	1.2433	1.2545	1.4033	0.5358	0.5364	0.5343	0.5348	0.5321	0.5324	0.5349	0.5861	0.5826	0.5341	1.972556	1.974406	1.965546	1.946225	1.989980	1.999103	1.964610	2.021200	2.004047	1.973425
67000	13.6954	1.3913	1.3943	1.3989	1.3987	1.4026	1.4023	1.4014	1.2456	1.2566	1.4038	0.5357	0.5361	0.5341	0.5346	0.5321	0.5324	0.5347	0.5852	0.5816	0.5339	1.966813	1.968712	1.960117	1.941434	1.983143	1.992363	1.958905	2.014317	1.997761	1.968117
68000	13.7016	1.3915	1.3947	1.3989	1.3988	1.4021	1.4022	1.4016	1.2479	1.2594	1.4046	0.5358	0.5357	0.5340	0.5343	0.5322	0.5326	0.5345	0.5844	0.5807	0.5338	1.960555	1.962731	1.954289	1.936034	1.975936	1.985566	1.953108	2.007152	1.991164	1.962390
69000	13.7067	1.3918	1.3946	1.3986	1.3991	1.4019	1.4029	1.4016	1.2500	1.2617	1.4047	0.5357	0.5358	0.5340	0.5342	0.5321	0.5323	0.5346	0.5838	0.5800	0.5335	1.954098	1.956569	1.948275	1.930609	1.968482	1.978562	1.946868	1.999918	1.984177	1.956190
70000	13.7110	1.3922	1.3946	1.3977	1.3988	1.4025	1.4023	1.4021	1.2513	1.2646	1.4049	0.5354	0.5357	0.5342	0.5341	0.5318	0.5325	0.5343	0.5832	0.5789	0.5333	1.947626	1.950565	1.942521	1.924980	1.961285	1.971827	1.940792	1.992858	1.977349	1.950473
71000	13.7175	1.3926	1.3951	1.3975	1.3989	1.4030	1.4022	1.4024	1.2534	1.2669	1.4056	0.5353	0.5355	0.5345	0.5340	0.5317	0.5323	0.5342	0.5824	0.5782	0.5333	1.970794	1.975416	1.966392	1.951089	1.984689	1.995490	1.965446	2.016555	1.998877	1.975644
72000	13.7250	1.3929	1.3954	1.3972	1.3995	1.4037	1.4023	1.4029	1.2560	1.2693	1.4059	0.5353	0.5352	0.5346	0.5339	0.5316	0.5323	0.5340	0.5815	0.5775	0.5331	1.973540	1.977447	1.969694	1.955106	1.988268	1.997990	1.967961	2.017847	2.001854	1.978125
