Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
143000	1.7374	0.4477	0.4168	0.4371	0.4359	0.8548	0.8818	0.8636	0.8662	0.454696	0.439908	0.454879	0.403292
144000	1.7372	0.4473	0.4170	0.4372	0.4358	0.8550	0.8817	0.8636	0.8662	0.455018	0.440410	0.455272	0.403529
145000	1.7376	0.4472	0.4170	0.4374	0.4359	0.8551	0.8817	0.8635	0.8662	0.455293	0.440873	0.455605	0.403736
146000	1.7373	0.4469	0.4170	0.4375	0.4358	0.8553	0.8817	0.8635	0.8662	0.455538	0.441333	0.455932	0.403939
147000	1.7368	0.4468	0.4168	0.4373	0.4360	0.8554	0.8818	0.8637	0.8662	0.455764	0.441774	0.456231	0.404106
148000	1.7366	0.4467	0.4168	0.4370	0.4361	0.8556	0.8818	0.8638	0.8661	0.455946	0.442177	0.456485	0.404235
149000	1.7362	0.4465	0.4169	0.4368	0.4360	0.8558	0.8817	0.8640	0.8662	0.456106	0.442532	0.456691	0.404315
150000	1.7358	0.4461	0.4171	0.4367	0.4359	0.8559	0.8816	0.8641	0.8663	0.456268	0.442908	0.456912	0.404390
151000	1.7356	0.4461	0.4170	0.4367	0.4358	0.8560	0.8816	0.8641	0.8663	0.456925	0.443690	0.457675	0.404964
152000	1.7360	0.4460	0.4173	0.4368	0.4359	0.8561	0.8815	0.8641	0.8662	0.457288	0.444184	0.458132	0.405218
153000	1.7358	0.4459	0.4173	0.4367	0.4359	0.8562	0.8815	0.8642	0.8662	0.457619	0.444656	0.458565	0.405466
154000	1.7360	0.4459	0.4173	0.4369	0.4359	0.8563	0.8815	0.8642	0.8662	0.457873	0.445062	0.458929	0.405657
155000	1.7359	0.4459	0.4173	0.4367	0.4359	0.8563	0.8815	0.8643	0.8662	0.458076	0.445411	0.459238	0.405789
156000	1.7359	0.4460	0.4175	0.4365	0.4360	0.8563	0.8814	0.8645	0.8662	0.458280	0.445763	0.459542	0.405920
157000	1.7360	0.4459	0.4174	0.4366	0.4361	0.8564	0.8815	0.8644	0.8661	0.458439	0.446059	0.459791	0.406018
158000	1.7362	0.4459	0.4173	0.4367	0.4363	0.8564	0.8815	0.8645	0.8660	0.458626	0.446365	0.460082	0.406141
159000	1.7358	0.4458	0.4173	0.4364	0.4363	0.8565	0.8815	0.8647	0.8660	0.458795	0.446676	0.460370	0.406257
160000	1.7357	0.4457	0.4173	0.4363	0.4365	0.8565	0.8815	0.8648	0.8659	0.458950	0.446969	0.460637	0.406358
161000	1.7363	0.4458	0.4175	0.4364	0.4366	0.8565	0.8815	0.8648	0.8658	0.459669	0.447839	0.461305	0.406988
162000	1.7360	0.4457	0.4174	0.4363	0.4366	0.8566	0.8815	0.8649	0.8658	0.460113	0.448429	0.461735	0.407329
163000	1.7363	0.4458	0.4176	0.4361	0.4368	0.8566	0.8814	0.8650	0.8658	0.460482	0.448951	0.462086	0.407603
